_id,longitude,latitude,floor
3096,114.2633269,22.41552225,3
3097,114.2633483,22.4154293,3
3098,114.263372,22.41557802,3
3099,114.263372,22.41565238,3
3100,114.2633672,22.4156152,3
3101,114.2633672,22.41565238,3
3102,114.2633886,22.41624724,3
3103,114.2634146,22.41624724,3
3104,114.2634146,22.41621006,3
3105,114.2634146,22.4161357,3
3106,114.2634146,22.41607993,3
3107,114.2634146,22.41607993,3
3108,114.2634146,22.4159684,3
3109,114.2634146,22.41589404,3
3110,114.2634146,22.41593122,3
3111,114.2634146,22.41581968,3
3112,114.2634146,22.4157825,3
3113,114.2634146,22.41570815,3
3114,114.2634146,22.41567097,3
3115,114.2634146,22.41563379,3
3116,114.2634146,22.41555943,3
3117,114.2634146,22.41552225,3
3118,114.2633981,22.41544789,3
3119,114.2634052,22.41544789,3
3120,114.2634146,22.4154293,3
3121,114.2634146,22.41531777,3
3122,114.2634194,22.41531777,3
3123,114.2634289,22.41528059,3
3124,114.2634431,22.41528059,3
3125,114.2634478,22.41528059,3
3126,114.2634644,22.41528059,3
3127,114.2634478,22.41537354,3
3128,114.2634478,22.41541072,3
3129,114.2634549,22.41541072,3
3130,114.2634549,22.41539213,3
3131,114.2634502,22.41537354,3
3132,114.2634739,22.41528059,3
3133,114.2634881,22.41544789,3
3134,114.2634881,22.4154293,3
3135,114.2634786,22.41528059,3
3136,114.2634692,22.41528059,3
3137,114.2634834,22.41528059,3
3138,114.2634881,22.41528059,3
3139,114.2634881,22.41529918,3
3140,114.2634929,22.41541072,3
3141,114.2634929,22.4154293,3
3142,114.2635118,22.41531777,3
3143,114.2635213,22.41531777,3
3144,114.2635261,22.41541072,3
3145,114.2635261,22.41544789,3
3146,114.2635284,22.41544789,3
3147,114.2635284,22.41541072,3
3148,114.2635261,22.41531777,3
3149,114.2635355,22.41531777,3
3150,114.2635592,22.415262,3
3151,114.2635592,22.41522482,3
3152,114.2635592,22.4150947,3
3153,114.2635592,22.41505752,3
3154,114.2635592,22.41494598,3
3155,114.2635616,22.41494598,3
3156,114.263564,22.41494598,3
3157,114.2635758,22.41494598,3
3158,114.2635592,22.41541072,3
3159,114.2635901,22.41544789,3
3160,114.2635901,22.41531777,3
3161,114.2636043,22.41544789,3
3162,114.2636043,22.41557802,3
3163,114.2636043,22.41565238,3
3164,114.2636019,22.41565238,3
3165,114.2636019,22.4156152,3
3166,114.2635592,22.41541072,3
3167,114.2635592,22.41544789,3
3168,114.2635592,22.41554084,3
3169,114.2635592,22.41559661,3
3170,114.2635664,22.41559661,3
3171,114.2635664,22.41563379,3
3172,114.2635592,22.41570815,3
3173,114.2635592,22.41574532,3
3174,114.2635664,22.41581968,3
3175,114.2635592,22.41585686,3
3176,114.2635592,22.41591263,3
3177,114.2635664,22.4159684,3
3178,114.2635758,22.41581968,3
3179,114.2635592,22.41600558,3
3180,114.2635592,22.41606134,3
3181,114.2635758,22.41609852,3
3182,114.263564,22.4161357,3
3183,114.2635758,22.4161357,3
3184,114.2635592,22.41617288,3
3185,114.2635592,22.41621006,3
3186,114.2635664,22.41624724,3
3187,114.2635853,22.41624724,3
3188,114.2635901,22.41624724,3
3189,114.2636232,22.41624724,3
3190,114.2636422,22.41624724,3
3191,114.2636493,22.41624724,3
3192,114.2636493,22.41617288,3
3193,114.2636422,22.4161357,3
3194,114.2636327,22.4161357,3
3195,114.2636327,22.41609852,3
3196,114.2636422,22.41609852,3
3197,114.2636493,22.41604275,3
3198,114.2636493,22.41600558,3
3199,114.2636375,22.4159684,3
3200,114.2636446,22.4159684,3
3201,114.2636493,22.41589404,3
3202,114.2636493,22.41585686,3
3203,114.2636351,22.41581968,3
3204,114.2636327,22.41581968,3
3205,114.2636446,22.41581968,3
3206,114.2636493,22.41574532,3
3207,114.2636493,22.41570815,3
3208,114.2636446,22.41563379,3
3209,114.2636327,22.41563379,3
3210,114.2636327,22.41559661,3
3211,114.2636446,22.41559661,3
3212,114.2636493,22.41559661,3
3213,114.2636493,22.41554084,3
3214,114.2636185,22.41544789,3
3215,114.2636185,22.41529918,3
3216,114.2636493,22.41520623,3
3217,114.2636493,22.41492739,3
3218,114.2636493,22.41494598,3
3219,114.2636493,22.41505752,3
3220,114.2636493,22.4150947,3
3221,114.2636493,22.41520623,3
3222,114.2636493,22.41524341,3
3223,114.263673,22.41531777,3
3224,114.2636801,22.41541072,3
3225,114.2636801,22.4154293,3
3226,114.2636825,22.4154293,3
3227,114.2636825,22.41541072,3
3228,114.2636778,22.41531777,3
3229,114.2636872,22.41531777,3
3230,114.2636967,22.41531777,3
3231,114.2637204,22.41541072,3
3232,114.2637204,22.4154293,3
3233,114.2637204,22.41548507,3
3234,114.2637204,22.41524341,3
3235,114.2637204,22.41520623,3
3236,114.2637228,22.41520623,3
3237,114.2637228,22.41524341,3
