_id,fname,ftype,nid,metadata
517,turning point,7,3516,
518,turning point,7,3517,
519,turning point,7,3518,
520,turning point,7,3519,
521,turning point,7,3520,
522,turning point,7,3521,
523,turning point,7,3522,
524,turning point,7,3523,
525,turning point,7,3524,
526,turning point,7,3525,
527,turning point,7,3526,
528,turning point,7,3527,
529,turning point,7,3528,
530,turning point,7,3529,
531,turning point,7,3530,
532,turning point,7,3531,
533,turning point,7,3532,
534,turning point,7,3533,
535,turning point,7,3534,
536,turning point,7,3535,
537,turning point,7,3536,
538,turning point,7,3537,
539,turning point,7,3538,
540,turning point,7,3539,
541,turning point,7,3540,
542,turning point,7,3541,
543,turning point,7,3542,
544,turning point,7,3543,
545,turning point,7,3544,
546,turning point,7,3545,
547,4001-4004,2,4452,
548,4001,8,4000,
549,4002,8,4001,
550,4003,8,4002,
551,4004,8,4003,
552,4005,2,4004,
553,4007,8,4005,
554,4008,8,4006,
555,4009,8,4007,
556,4010,8,4008,
557,4011,8,4009,
558,4012,8,4010,
559,4013,2,4011,
560,4015,2,4012,
561,4016,2,4013,
562,4017,2,4014,
563,4018,2,4015,
564,4020,2,4016,
565,4021,2,4017,
566,4026,2,4018,
567,4027,2,4019,
568,4028,2,4020,
569,4029,2,4021,
570,4030,2,4022,
571,4032,8,4023,
572,4033,2,4024,
573,4035,2,4025,
574,4091,8,4026,
575,4092,2,4027,
576,4093,2,4028,
577,4094,2,4029,
578,4095,2,4030,
579,4096,2,4031,
580,4098,2,4032,
581,4101,2,4033,
582,4102,2,4034,
583,4103,2,4035,
584,4104,2,4036,
585,4105,8,4037,
586,4106,2,4038,
587,4107,2,4039,
588,4107A,8,4040,
589,4108,8,4041,
590,4109,2,4042,
591,4110,2,4043,
592,4110B,8,4044,
593,4111,8,4045,
594,4112,2,4046,
595,4113,2,4047,
596,4114,2,4048,
597,4115,2,4049,
598,4115A,8,4050,
599,4116,2,4051,
600,4116A,8,4052,
601,4116B,8,4053,
602,4116C,8,4054,
603,4116D,8,4055,
604,4117,2,4056,
605,4118,2,4057,
606,4119,2,4058,
607,4120,2,4059,
608,4121,2,4060,
609,4122,2,4061,
610,4123,2,4062,
611,4124,2,4063,
612,4125,2,4064,
613,4126,2,4065,
614,4127,2,4066,
615,4128,2,4067,
