_id,latitude,longitude,floor
3072,114.2634266,22.33673849,3
3073,114.2634286,22.33674778,3
3074,114.2634448,22.33671376,3
3075,114.2634472,22.33668156,3
3076,114.2634596,22.33658746,3
3077,114.2634467,22.33646481,3
3078,114.2634529,22.33649269,3
3079,114.2634611,22.33652987,3
3080,114.2634222,22.3377275,3
3081,114.2634304,22.33776468,3
3082,114.2634013,22.33767605,3
3083,114.2634037,22.33764385,3
3084,114.2634108,22.33754726,3
3085,114.2634132,22.33751506,3
3086,114.2634144,22.33749896,3
3087,114.2634215,22.33740237,3
3088,114.2634239,22.33737017,3
3089,114.2634262,22.33733797,3
3090,114.263431,22.33727358,3
3091,114.2634333,22.33724138,3
3092,114.2634381,22.33717698,3
3093,114.2634405,22.33714479,3
3094,114.2634428,22.33711259,3
3095,114.2634476,22.33704819,3
3096,114.2634499,22.33701599,3
3097,114.2634743,22.33701915,3
3098,114.2634854,22.33724089,3
3099,114.2634806,22.33730529,3
3100,114.2634789,22.3372545,3
3101,114.2634765,22.3372867,3
3102,114.2634571,22.33788551,3
3103,114.2634797,22.33798776,3
3104,114.263482,22.33795556,3
3105,114.2634868,22.33789116,3
3106,114.2634903,22.33784287,3
3107,114.2634903,22.33784287,3
3108,114.2634974,22.33774627,3
3109,114.2635022,22.33768188,3
3110,114.2634998,22.33771407,3
3111,114.2635069,22.33761748,3
3112,114.2635093,22.33758528,3
3113,114.263514,22.33752089,3
3114,114.2635164,22.33748869,3
3115,114.2635188,22.33745649,3
3116,114.2635235,22.3373921,3
3117,114.2635259,22.3373599,3
3118,114.2635163,22.33723044,3
3119,114.2635224,22.33725832,3
3120,114.2635318,22.3372794,3
3121,114.2635389,22.33718281,3
3122,114.263543,22.3372014,3
3123,114.2635536,22.33720638,3
3124,114.2635659,22.33726215,3
3125,114.26357,22.33728074,3
3126,114.2635844,22.3373458,3
3127,114.2635641,22.33736123,3
3128,114.2635617,22.33739343,3
3129,114.2635679,22.33742131,3
3130,114.2635691,22.33740522,3
3131,114.2635662,22.33737053,3
3132,114.2635926,22.33738298,3
3133,114.2635943,22.33758364,3
3134,114.2635955,22.33756754,3
3135,114.2635967,22.33740157,3
3136,114.2635885,22.33736439,3
3137,114.2636008,22.33742016,3
3138,114.2636049,22.33743875,3
3139,114.2636038,22.33745485,3
3140,114.2636007,22.33757003,3
