_id,ftype,fname,nid,metadata
871,2,3312,3092,
872,2,3313,3093,
873,2,3314,3094,
874,2,3315,3095,
875,2,3316,3096,
876,2,3399,3097,
877,5,LIFT 17,3098,
878,5,LIFT 18,3099,
879,9,Staircase,3100,
880,4,M,3101,
881,2,3401,3102,
882,2,3402,3103,
883,2,3403,3104,
884,2,3404,3105,
885,2,3405,3106,
886,2,3406,3107,
887,2,3407,3108,
888,2,3408,3109,
889,2,3409,3110,
890,2,3410,3111,
891,2,3411,3112,
892,2,3412,3113,
893,2,3413,3114,
894,2,3414,3115,
895,2,3415,3116,
896,2,3416,3117,
897,2,3419,3118,
898,2,3420,3119,
899,2,3421,3120,
900,2,3422,3121,
901,2,3423,3122,
902,2,3424,3123,
903,2,3425,3124,
904,2,3426,3125,
905,2,3427,3126,
906,2,3428,3127,
907,2,3429,3128,
908,2,3430,3129,
909,2,3431,3130,
910,2,3432,3131,
911,2,3433,3132,
912,2,3434,3133,
913,9,Staircase,3134,
914,2,3435,3135,
915,2,3436,3136,
916,2,3437,3137,
917,2,3438,3138,
918,2,3439,3139,
919,2,3442,3140,
920,2,3443,3141,
921,2,3444,3142,
922,2,3445,3143,
923,2,3446,3144,
924,2,3447,3145,
925,2,3449,3146,
926,2,3450,3147,
927,2,3451,3148,
928,2,3452,3149,
929,2,3453,3150,
930,2,3454,3151,
931,2,3455,3152,
932,2,3456,3153,
933,2,3457,3154,
934,2,3458,3155,
935,2,3459,3156,
936,2,3460,3157,
937,2,3461,3158,
938,2,3462,3159,
939,8,3463,3160,
940,2,3464,3161,
941,5,LIFT 25,3162,
942,5,LIFT 26,3163,
943,4,F,3164,
944,9,Staircase,3165,
945,2,3468,3166,
946,2,3469,3167,
947,2,3470,3168,
948,2,3471,3169,
949,2,3472,3170,
950,2,3473,3171,
951,2,3476,3172,
952,2,3477,3173,
953,2,3478,3174,
954,2,3481,3175,
955,2,3482,3176,
956,2,3483,3177,
957,2,3484,3178,
958,2,3485,3179,
959,2,3486,3180,
960,2,3488,3181,
961,2,3489,3182,
962,2,3490,3183,
963,2,3491,3184,
964,2,3492,3185,
965,2,3493,3186,
966,2,3494,3187,
967,9,Staircase,3188,
968,2,3501,3189,
969,2,3502,3190,
970,2,3503,3191,
971,2,3504,3192,
972,2,3505,3193,
973,2,3506,3194,
974,2,3507,3195,
975,2,3508,3196,
976,2,3509,3197,
977,2,3510,3198,
978,2,3511,3199,
979,2,3512,3200,
980,2,3513,3201,
981,2,3514,3202,
982,2,3515,3203,
983,2,3516,3204,
984,2,3517,3205,
985,2,3518,3206,
986,2,3519,3207,
987,2,3520,3208,
988,2,3521,3209,
989,2,3522,3210,
990,2,3523,3211,
